備考,名前（日本語表記）,Name（英語表記）,作品タイトル（日本語）,作品タイトル（英語）,体験時間,コンセプト・遊び方など,文字数
,大髙 那由子,OTAKA Nayuko,Animemory -記憶の図書館-,Animemories -The Library of Memories-,5～15分,こどもたちとの日々の記憶をアニメーションとして記録した。アニメーションで描かれた彼らは、確かに私の息子たちであるが、同時に「だれかのだれか」にもなりうる。私の記憶が、誰かの「記憶の引き出しを開ける鍵」となりますように。,109
,ニルギリ,NILGIRI,祭細壇断,Shred Shrine,10分,祭壇に置かれた、少しだけプライベートな内容が書かれたメモを読む。読んだら、もう他の誰にも読まれないようきちんとシュレッダーにかけ、代わりに自分も少しだけプライベートなメモを書き祭壇にセットする。儀式の全容は誰にもわからないが、プレイし続けることで儀式がつながっていく。,134
,佐々木 隼,SASAKI Jun,復元文庫,Restoration Library,30分,「復元文庫」は、断片カードから失われた文書を少しずつ復元し、その内容から真相を読み解くボードゲームである。誰も全体を知らないまま、それぞれの推理を進めていく。本展示では、第１作『消えた灯台守』を題材に、そのルール設計を紹介する。,114
,嶋 晃平,SHIMA Kohei,アルカビット,Arcabbit,10分,「アルカビット」は、2つのマウスを両手で同時に操作する、独特な操作方法の2Dアクションゲームです。2本のグラップリングフックを巧みに操りましょう。,73
,横山 立門,YOKOYAMA Rimon,この形を作レ,Make This Shape,1分,全身を使って、見本と同じ影を作るゲーム,19
,横山 立門,YOKOYAMA Rimon,Astrrow,Astrrow,5分,モノを動かす力を持った矢印を使って進む2Dアクションゲーム。矢印を敵やギミック、時には自分に当ててゴールを目指そう。,58
,横山 立門,YOKOYAMA Rimon,COLORS,COLORS,5分,混色をシステムに使った2Dアクションパズルゲーム,24
,福眞 奏太,FUKUMA Kanata,セ・ボ〜ンズ,Cʼest Bones,1~10分,独自の背骨コントローラを使って遊ぶ２人用ゲーム。普段意識しない「背骨」でプレイヤーを動かすことで、飾らない素直な動きがゲーム内外に現れる。剥き出しの存在になってお互いの個性を感じよう。,92
,戴 旻旻（ダイ ミンミン）,DAI MINMIN,KISS・FIND,KISS・FIND,1~10分,"藝大で運命の相手と出会うために生まれたマッチングサイト。
縁を信じれば、運命は静かに恋を運んでくる。
画面にキス、またはタップして、相手とのつながりを感じる。方角ガイドを頼りに、運命の相手へ。",96
,大久保 麻央,OKUBO Mao,NewMe,NewMe,2分,"「新しい自分になりたい」。その願いを魔法少女の変身にかさねました。
音に合わせて、一瞬で変身してみてください。",55
体験方法や動線は別途用意します,藤井 嗣音,FUJII Shion,声のゆくえ,Where the Voice Goes？,3分,"鑑賞者の声の録音と口元の映像を素材に展開するインタラクティブ作品。
自由に発せられた声は、ピッチ分析によって音楽的に解釈され、作品内に蓄積された声と和音を形作る。音響/映像空間を移動する声の群れの中で、鑑賞者は他者と音楽的関係を結ぶ自身の痕跡を追い、その行方を選択する。",135
,天野 兼太,AMANO Kenta,Boundary,Boundary,3分,私たちの身体を分解していくと、最後は無機質な物質に行き着く。生命と物質の境界線はどこにあるのか。画面の前で自由に踊り、身振り手振りを交えてみてください。デジタルな相互作用を通して、己の身体を再発見する体験が始まります。,109
,藤森 玲央,Fujimori Reo,ちびすけはやい,Chibisukehayai,5分,ちっちゃいちびすけちょこちょこはしる,7
,中山 大成,NAKAYAMA Taisei,Player,Player,3～5分,ゲームパッドでアーケードコントローラを操作することができますし、アーケードコントローラはあなたの指を操作することができます。,62
,大塚 敏郎,OTSUKA Toshiro,受験番号パチンコ,Exam Pachinko,3分,"合格発表って緊張するし単調…。
君の受験番号でブロック崩しをしよう。激アツ演出もあるよ。",44
,大塚 敏郎,OTSUKA Toshiro,しふとべると！,Shiftwelt,10分,"重力がアベコベな現実空間にてりんごちゃんを操作するMRアクション。
世界の観方をシフトさせよう。",48
,鈴木 ひなの,SUZUKI Hinano,Tutti,Tutti,2分,"""Tutti""は音楽用語で「全員で演奏する」という意味です。
それぞれの居場所を見つけ、音を重ねながら、一つの合奏を完成させましょう。",67
,陳 禹霖（チン ウリン）,CHIN WURIN,灯台登り,lighthouse climbing,2分,親指を使わず、四本の指だけでクライマーになりきり、ハーケンを携えながら上を目指して登ろう！指一旦全部離れたら失敗！,
,平山 理貴,HIRAYAMA Riki,別の世界,another world,2分,影を作ってみよう。,9
,平山 理貴,HIRAYAMA Riki,くるくる、ぐるぐる,"kurukuru,guruguru",2分,回してみよう。,7
,鈴木 ひなの・中山 大成・松浦 恵夢・村山 海,SUZUKI Hinano・NAKAYAMA Taisei・MATSUURA Megumu・MURAYAMA Kai,Play Room,Play Room,10分,本専攻の特別演習課題で制作したVR作品。子供部屋の中でコントローラーを握り、ゲームをクリアする。すると、部屋はドローンや兵器が配置された戦場へと切り替わり、プレイヤーは再び全く同じゲームのプレイを求められる。現代の「ゲーム」と「ドローン戦争」は、同一のインターフェースで繋がっている。,142
